https://www.CryptoDataDownload.com
uniq,date,symbol,open,high,low,close,Volume 1INCH,Volume USD
1684540800000,2023-05-20 00:00:00,1INCH/USD,0.4071,0.4116,0.3998,0.4041,2772.940052,1120.5450750132
1684454400000,2023-05-19 00:00:00,1INCH/USD,0.4032,0.4072,0.3987,0.4071,3049.151722,1241.3096660262001
1684368000000,2023-05-18 00:00:00,1INCH/USD,0.4128,0.4157,0.4015,0.4032,4305.608976,1736.0215391232002
1684281600000,2023-05-17 00:00:00,1INCH/USD,0.4157,0.4167,0.4054,0.4128,6698.323863,2765.0680906464
1684195200000,2023-05-16 00:00:00,1INCH/USD,0.4154,0.4179,0.411,0.4157,3564.67062,1481.833576734
1684108800000,2023-05-15 00:00:00,1INCH/USD,0.4146,0.4179,0.4088,0.4154,3257.959555,1353.356399147
1684022400000,2023-05-14 00:00:00,1INCH/USD,0.4118,0.4146,0.4073,0.4146,1045.0085,433.2605241
1683936000000,2023-05-13 00:00:00,1INCH/USD,0.4105,0.4121,0.4079,0.4118,926.546469,381.5518359342
1683849600000,2023-05-12 00:00:00,1INCH/USD,0.4068,0.4105,0.3982,0.4105,11262.384829,4623.2089723045
1683763200000,2023-05-11 00:00:00,1INCH/USD,0.4218,0.4218,0.4015,0.4068,4114.640703,1673.8358379804
1683676800000,2023-05-10 00:00:00,1INCH/USD,0.4149,0.422,0.403,0.4218,11567.537071,4879.1871365478
1683590400000,2023-05-09 00:00:00,1INCH/USD,0.4114,0.4183,0.4068,0.4149,2271.648354,942.5069020745999
1683504000000,2023-05-08 00:00:00,1INCH/USD,0.4588,0.461,0.4,0.4114,15072.805546,6200.9522016244
1683417600000,2023-05-07 00:00:00,1INCH/USD,0.4466,0.4616,0.4458,0.4588,1618.11307,742.390276516
1683331200000,2023-05-06 00:00:00,1INCH/USD,0.459,0.4646,0.4434,0.4466,5748.961338,2567.4861335508
1683244800000,2023-05-05 00:00:00,1INCH/USD,0.4435,0.4616,0.4368,0.459,5012.240655,2300.618460645
1683158400000,2023-05-04 00:00:00,1INCH/USD,0.4492,0.4547,0.4368,0.4435,3339.552332,1481.0914592420002
1683072000000,2023-05-03 00:00:00,1INCH/USD,0.4603,0.4603,0.4405,0.4492,4788.372857,2150.9370873644
1682985600000,2023-05-02 00:00:00,1INCH/USD,0.4547,0.4604,0.4495,0.4603,6247.023484,2875.5049096852
1682899200000,2023-05-01 00:00:00,1INCH/USD,0.4737,0.4753,0.4405,0.4547,12253.988442,5571.888544577399
1682812800000,2023-04-30 00:00:00,1INCH/USD,0.4963,0.4963,0.4709,0.4737,9245.380732,4379.5368527484
1682726400000,2023-04-29 00:00:00,1INCH/USD,0.481,0.5082,0.4744,0.4963,13356.728757,6628.9444820991
1682640000000,2023-04-28 00:00:00,1INCH/USD,0.4887,0.4901,0.4708,0.481,3421.818011,1645.894463291
1682553600000,2023-04-27 00:00:00,1INCH/USD,0.4771,0.4935,0.4771,0.4887,5919.56158,2892.889744146
1682467200000,2023-04-26 00:00:00,1INCH/USD,0.495,0.5083,0.4684,0.4771,10274.367896,4901.9009231816
1682380800000,2023-04-25 00:00:00,1INCH/USD,0.4922,0.495,0.4715,0.495,4781.04569,2366.61761655
1682294400000,2023-04-24 00:00:00,1INCH/USD,0.4951,0.5005,0.4763,0.4922,5096.674098,2508.5829910356
1682208000000,2023-04-23 00:00:00,1INCH/USD,0.5072,0.5164,0.4798,0.4951,5375.478641,2661.3994751591
1682121600000,2023-04-22 00:00:00,1INCH/USD,0.4952,0.5139,0.4862,0.5072,11433.748787,5799.1973847664
1682035200000,2023-04-21 00:00:00,1INCH/USD,0.4953,0.5238,0.4856,0.4952,7481.035711,3704.6088840872
1681948800000,2023-04-20 00:00:00,1INCH/USD,0.5101,0.518,0.4953,0.4953,3851.370189,1907.5836546117002
1681862400000,2023-04-19 00:00:00,1INCH/USD,0.5654,0.5702,0.5052,0.5101,19672.241004,10034.8101361404
1681776000000,2023-04-18 00:00:00,1INCH/USD,0.5555,0.5737,0.5514,0.5654,10500.126753,5936.7716661462
1681689600000,2023-04-17 00:00:00,1INCH/USD,0.5733,0.5741,0.5474,0.5555,4160.36774,2311.0842795699996
1681603200000,2023-04-16 00:00:00,1INCH/USD,0.5682,0.5777,0.5388,0.5733,5664.950137,3247.7159135421
1681516800000,2023-04-15 00:00:00,1INCH/USD,0.5613,0.5699,0.5514,0.5682,2234.578155,1269.687307671
1681430400000,2023-04-14 00:00:00,1INCH/USD,0.548,0.566,0.546,0.5613,6125.086597,3438.0111068961005
1681344000000,2023-04-13 00:00:00,1INCH/USD,0.534,0.5545,0.5277,0.548,3406.432005,1866.7247387400002
1681257600000,2023-04-12 00:00:00,1INCH/USD,0.547,0.547,0.5225,0.534,5458.89983,2915.0525092200005
1681171200000,2023-04-11 00:00:00,1INCH/USD,0.5441,0.5488,0.5367,0.547,3208.068848,1754.8136598560002
1681084800000,2023-04-10 00:00:00,1INCH/USD,0.5339,0.5479,0.52,0.5441,3451.776519,1878.1116039879
